n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,n_filters,pre_processing_time,mfcc_time,model_time,microF1,macroF1
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,40,0.9,8.5,325.01,1.0,1.0
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,40,1.05,19.04,144.52,0.35,0.18
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,40,0.83,3.06,197.68,1.0,1.0
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,40,0.94,7.15,298.03,1.0,1.0
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,40,0.83,3.06,28.01,0.15,0.04
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,40,0.84,3.49,204.62,0.92,0.93
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,40,0.9,6.86,14.34,0.72,0.8
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,40,1.04,19.03,494.46,1.0,1.0
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,SVM,40,0.84,3.49,32.68,0.22,0.14
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,GMM,40,0.77,1.58,5.75,0.57,0.68
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,40,0.83,3.09,9.1,0.68,0.76
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,40,0.84,3.51,203.5,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,40,0.9,6.86,57.33,0.42,0.34
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,40,0.94,8.54,15.34,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,40,0.94,8.54,318.85,0.98,0.98
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,40,0.94,8.54,70.88,0.3,0.26
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,40,0.9,6.91,56.69,0.22,0.14
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,40,0.83,3.06,29.39,0.12,0.14
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,40,0.9,6.91,296.51,1.0,1.0
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,GMM,40,0.77,1.59,5.92,0.65,0.74
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,VQ,40,0.84,3.51,204.66,0.9,0.91
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,40,0.9,6.91,14.57,0.7,0.78
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,40,0.93,8.47,318.83,0.98,0.98
